AÑO,MES,Date,Periodo,Estacion_clima,Station_ID,Latitude,Longitude,Station_Name,Data_Freq,Vertiente,Familia,Especies,CCODE,Ambiente,Miller_66_76,V_Economico,count,TOTAL
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Achiridae,"Achirus mazatlanus (Steindachner, 1869)",A. MAZATLANUS,M,P,1.0,0.0,7
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Ariidae,"Occidentarius platypogon (Günther, 1864)",O. PLATYPOGON,M,P,1.0,0.0,225
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,C,Atherinidae,"Atherinella chagresi (Meek & Hildebrand, 1914)",A. CHAGRESI,D,P,0.0,0.0,82
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,A,Carangidae,"Oligoplites saurus (Bloch & Schneider, 1801)",O. SAURUS,M,P,1.0,0.0,1
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Centropomidae,"Centropomus medius Günther, 1864",C. MEDIUS,M,P,1.0,0.0,4
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Centropomidae,"Centropomus nigrescens Günther, 1864",C. NIGRESCENS,M,P,1.0,0.0,1
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Centropomidae,"Centropomus viridis Lockington, 1877",C. VIRIDIS,M,P,1.0,0.0,1
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,A,Cichlidae,"Amatitlania nigrofasciata (Günther, 1867)",A. NIGROFASCIATA,D,1,1.0,0.0,1
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,I,Cichlidae,"Astronotus ocellatus (Agassiz, 1831)",A. OCELLATUS,D,1,1.0,0.0,8
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Characidae,"Astyanax aeneus (Günther, 1860)",A. AENEUS,D,1,0.0,0.0,78
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,A,Characidae,"Astyanax orthodus Eigenmann, 1907",A. ORTHODUS,D,1,0.0,0.0,2
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,A,Bryconidae,"Brycon behreae Hildebrand, 1938",B. BEHREAE,D,1,1.0,0.0,16
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,C,Bryconidae,"Brycon guatemalensis Regan, 1908",B. GUATEMALENSIS,D,1,1.0,0.0,3
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,I,Cichlidae,"Cichla monoculus Agassiz, 1831",C. MONOCULUS,D,1,1.0,0.0,36
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Cichlidae,"Isthmoheros tuyrensis (Meek & Hildebrand, 1913)",I. TUYRENSIS,D,2,0.0,0.0,1
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,I,Cichlidae,"Oreochromis niloticus (Linnaeus, 1758)",O. NILOTICUS,D,2,1.0,0.0,9
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,C,Cichlidae,"Panamius panamensis (Meek & Hildebrand, 1913)",P. PANAMENSIS,D,1,0.0,0.0,16
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,I,Cichlidae,"Parachromis dovii (Günther, 1864)",P. DOVII,D,1,1.0,0.0,12
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Characidae,"Roeboides ilseae Bussing, 1986",R. ILSEAE,D,1,0.0,0.0,14
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,C,Cichlidae,"Vieja maculicauda (Regan, 1905)",V. MACULICAUDA,D,2,1.0,0.0,12
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Eleotridae,"Dormitator latifrons (Richardson, 1844)",D. LATIFRONS,D,2,1.0,0.0,1
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Eleotridae,"Eleotris picta Kner, 1863",E. PICTA,D,2,0.0,0.0,4
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,C,Eleotridae,"Gobiomorus dormitor Lacepède, 1800",G. DORMITOR,D,2,0.0,0.0,15
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Elopidae,"Elops affinis Regan, 1909",E. AFFINIS,M,P,1.0,0.0,10
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,A,Erythrinidae,"Hoplias microlepis (Günther, 1864)",H. MICROLEPIS,D,1,1.0,0.0,3
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Gerreidae,"Diapterus peruvianus (Cuvier, 1830)",D. PERUVIANUS,M,P,1.0,0.0,4
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Gerreidae,"Eucinostomus gracilis (Gill, 1862)",E. GRACILIS,M,P,1.0,0.0,1
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,P,Gerreidae,"Eugerres lineatus (Humboldt, 1821)",E. LINEATUS,M,P,1.0,0.0,2
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,C,Gerreidae,"Eugerres plumieri (Cuvier, 1830)",E. PLUMIERI,M,P,1.0,0.0,11
2004,8,2004-08-01,2004-2016,LLUVIOSA,ACL,9.26294533835863,-79.9076820883317,E. Post Panamax Atlántico,Semestral,A,Gerreidae,"Gerres cinereus (Walbaum, 1792)",G. CINEREUS,M,P,1.0,0.0,50
